case,sample,LB,unit,fq1,fq2,PL
ctMSI-CRC-0039,N,ctMSI-CRC-0039-N,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S053_SZ20190501025WHB-e_gdna_wesplus_28744_S1_L003_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S053_SZ20190501025WHB-e_gdna_wesplus_28744_S1_L003_R2_001.fastq.gz,ILM
ctMSI-CRC-0039,T,ctMSI-CRC-0039-T,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S129_SZ20190719022PES-4_ffpedna_wesplus_30830_S47_L004_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S129_SZ20190719022PES-4_ffpedna_wesplus_30830_S47_L004_R2_001.fastq.gz,ILM
ctMSI-CRC-0040,T,ctMSI-CRC-0040-T,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S008_SZ20190713032PES-6_ffpedna_wesplus_30709_S27_L001_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S008_SZ20190713032PES-6_ffpedna_wesplus_30709_S27_L001_R2_001.fastq.gz,ILM
ctMSI-CRC-0040,N,ctMSI-CRC-0040-N,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S004_SZ20190704026WHB-f_gdna_wesplus_31379_S85_L001_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S004_SZ20190704026WHB-f_gdna_wesplus_31379_S85_L001_R2_001.fastq.gz,ILM
ctMSI-CRC-0041,T,ctMSI-CRC-0041-T,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S007_SZ20190711012PES-3_ffpedna_wesplus_30708_S26_L001_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S007_SZ20190711012PES-3_ffpedna_wesplus_30708_S26_L001_R2_001.fastq.gz,ILM
ctMSI-CRC-0041,N,ctMSI-CRC-0041-N,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S023_SZ20190711011WHB-7_gdna_wesplus_30890_S23_L002_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S023_SZ20190711011WHB-7_gdna_wesplus_30890_S23_L002_R2_001.fastq.gz,ILM
ctMSI-CRC-0042,T,ctMSI-CRC-0042-T,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S020_SZ20190227004PES-2_ffpedna_wesplus_25387_S20_L001_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S020_SZ20190227004PES-2_ffpedna_wesplus_25387_S20_L001_R2_001.fastq.gz,ILM
ctMSI-CRC-0042,N,ctMSI-CRC-0042-N,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S100_SZ20190223007WHB-b_gdna_wesplus_25831_S20_L004_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S100_SZ20190223007WHB-b_gdna_wesplus_25831_S20_L004_R2_001.fastq.gz,ILM
ctMSI-CRC-0043,T,ctMSI-CRC-0043-T,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S012_SZ20190629019PES-c_ffpedna_wesplus_30205_S16_L001_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S012_SZ20190629019PES-c_ffpedna_wesplus_30205_S16_L001_R2_001.fastq.gz,ILM
ctMSI-CRC-0043,N,ctMSI-CRC-0043-N,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S007_SZ20190613012WHB-a_gdna_wesplus_30874_S7_L002_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S007_SZ20190613012WHB-a_gdna_wesplus_30874_S7_L002_R2_001.fastq.gz,ILM
